
[2025.07.19 at 20:15:47]: 192.168.1.99 (User: Annonymous) successfully accessed / (Home)
[2025.07.19 at 20:15:49]: 192.168.1.99 (User: Annonymous) successfully accessed /games/gid=0 (Games List)
[2025.07.19 at 20:16:15]: 192.168.1.99 (User: Annonymous) successfully accessed /games/gid=0 (Games List)
[2025.07.19 at 20:16:44]: 192.168.1.99 (User: Annonymous) successfully accessed /games/gid=0 (Games List)
[2025.07.19 at 20:16:58]: 192.168.1.99 (User: Annonymous) successfully accessed /games/gid=0 (Games List)
[2025.07.19 at 20:17:21]: 192.168.1.99 (User: Annonymous) successfully accessed /games/gid=0 (Games List)
[2025.07.19 at 20:17:30]: 192.168.1.99 (User: Annonymous) successfully accessed /games/gid=0 (Games List)
[2025.07.19 at 20:17:36]: 192.168.1.99 (User: Annonymous) successfully accessed /games/gid=0 (Games List)
[2025.07.19 at 20:17:42]: 192.168.1.99 (User: Annonymous) successfully accessed /games/gid=0 (Games List)
[2025.07.19 at 20:17:52]: 192.168.1.99 (User: Annonymous) successfully accessed /games/gid=0 (Games List)
[2025.07.19 at 20:18:42]: 192.168.1.99 (User: Annonymous) successfully accessed /games/gid=0 (Games List)
