url,title,contents,description
Exclamation mark,"['(Top)', 'History', 'Slang and other names for the exclamation mark', 'Languages\nToggle Languages subsection', 'Proper names\nToggle Proper names subsection', 'Warnings', 'Use in various fields\nToggle Use in various fields subsection', 'Unicode code-points (with HTML)', 'See also', 'Notes', 'References', 'Further reading', 'External links']",Some scripts have their own exclamation mark:
"When We All Fall Asleep, Where Do We Go?","['(Top)', 'Writing and recording', 'Music and lyrics\nToggle Music and lyrics subsection\nSongs', 'Songs', 'Artwork and packaging', 'Marketing and sales', 'Touring', 'Critical reception\nToggle Critical reception subsection\nRankings', 'Rankings', 'Accolades', 'Track listing\nToggle Track listing subsection\nNotes', 'Notes', 'Personnel', 'Charts\nToggle Charts subsection\nWeekly charts\nYear-end charts\nDecade-end charts', 'Weekly charts', 'Year-end charts', 'Decade-end charts', 'Certifications and sales', 'See also', 'Notes', 'References', 'External links']","* Sales figures based on certification alone.
^ Shipments figures based on certification alone.
‡ Sales+streaming figures based on certification alone."
Fuck You (EP),"['(Top)', 'Track listing', 'References']",This 1980s thrash metal album-related article is a stub. You can help Wikipedia by expanding it.
Fuck You and Then Some,"['(Top)', 'Track listing', 'Personnel', 'References', 'External links']",This 1990s thrash metal album-related article is a stub. You can help Wikipedia by expanding it.
Fuck You and Then Some,"['(Top)', 'Track listing', 'Personnel', 'References', 'External links']",This 1990s thrash metal album-related article is a stub. You can help Wikipedia by expanding it.
!!! (album),"['(Top)', 'Reception', 'Track listing\nToggle Track listing subsection\nCD version\nLP version', 'CD version', 'LP version', 'Personnel', 'References', 'External links']","Johnny Loftus of AllMusic stated: ""On this [album], !!! trash the axiom that says bands influenced by angular post-punk must be populated by dour misanthropes who sport wallet photos of Ian Curtis. Highly recommended.""[1]"
!!!,"['(Top)', 'History', 'Discography\nToggle Discography subsection\nAlbums\nEPs\nSingles\nOther projects', 'Albums', 'EPs', 'Singles', 'Other projects', 'Footnotes', 'References', 'External links']","Vocalist and drummer John Pugh officially left the band in 2007 to concentrate on his new band Free Blood.[6] Vocalist Shannon Funchess stood in for Pugh during much of their 2007 tour.[7] The band also shared membership with the similar, defunct group Out Hud (including Tyler Pope, who has played with LCD Soundsystem and written music for Cake).[8]"
!!!,"['(Top)', 'History', 'Discography\nToggle Discography subsection\nAlbums\nEPs\nSingles\nOther projects', 'Albums', 'EPs', 'Singles', 'Other projects', 'Footnotes', 'References', 'External links']","Vocalist and drummer John Pugh officially left the band in 2007 to concentrate on his new band Free Blood.[6] Vocalist Shannon Funchess stood in for Pugh during much of their 2007 tour.[7] The band also shared membership with the similar, defunct group Out Hud (including Tyler Pope, who has played with LCD Soundsystem and written music for Cake).[8]"
!!!,"['(Top)', 'History', 'Discography\nToggle Discography subsection\nAlbums\nEPs\nSingles\nOther projects', 'Albums', 'EPs', 'Singles', 'Other projects', 'Footnotes', 'References', 'External links']","Vocalist and drummer John Pugh officially left the band in 2007 to concentrate on his new band Free Blood.[6] Vocalist Shannon Funchess stood in for Pugh during much of their 2007 tour.[7] The band also shared membership with the similar, defunct group Out Hud (including Tyler Pope, who has played with LCD Soundsystem and written music for Cake).[8]"
!!!,"['(Top)', 'History', 'Discography\nToggle Discography subsection\nAlbums\nEPs\nSingles\nOther projects', 'Albums', 'EPs', 'Singles', 'Other projects', 'Footnotes', 'References', 'External links']","Vocalist and drummer John Pugh officially left the band in 2007 to concentrate on his new band Free Blood.[6] Vocalist Shannon Funchess stood in for Pugh during much of their 2007 tour.[7] The band also shared membership with the similar, defunct group Out Hud (including Tyler Pope, who has played with LCD Soundsystem and written music for Cake).[8]"
